title,region,publisher,productId,upc,releaseDate,rating
Action Man: Robot Atak,EU,Atari SA,AGB-BACP-EUR,,09/24/04,3+
Activision Anthology,US,Aspyr,AGB-BAVE-USA,618870401201,12/09/03,E
Advance Guardian Heroes,US,Ubisoft,AGB-BGCE-USA,008888142096,09/14/04,E
Advance Wars,US,Nintendo,AGB-AWRE-USA,045496731458,09/09/01,E
Advance Wars 2: Black Hole Rising,US,Nintendo,AGB-AW2E-USA,045496733124,06/24/03,E
Adventure of Tokyo Disney Sea,JP,Konami,AGB-ADEJ-JPN,4988602084047,11/22/01,
Aegis: The Awakening,US,Sennari Interactive,,,Canceled,
Aerial Aces,US,Majesco,,,Canceled,
Aero the Acro-bat,US,Metro3D,AGB-AAOE-USA,650001771142,05/14/02,E
Agassi Tennis Generation 2002,US,DreamCatcher Interactive,AGB-ACEE-USA,625904359902,09/30/03,E
Agent Hugo: Roborumble,EU,ITE Media,AGB-BHQP-EUR,5703782207012,04/02/07,3+
Aggressive Inline,US,Acclaim,AGB-AILE-USA,021481522935,08/27/02,E
AirForce Delta Storm,US,Konami,AGB-AAKE-USA,083717500377,09/16/02,E
Aka-Chan Doubutsu Sono,JP,TDK Core,AGB-BAZJ-JPN,4988026814855,03/26/04,
Aleck Bordon Adventure: Tower & Shaft Advance,JP,Aruze Corp,AGB-BABJ-JPN,4524073320033,11/26/04,A
Alex Rider: Stormbreaker,US,THQ,AGB-BAWE-USA,785138322292,10/02/06,E10+
Alexander Zickler Total Soccer 2002,EU,Ubisoft,AGB-ATUP-EUR,3307210322203,10/16/01,
Alexandra Ledermann,EU,Ubisoft,AGB-BPVX-EUR,,09/29/05,3+
Alien Hominid,EU,Zoo Digital Publishing,AGB-BAHP-EUR,,02/03/06,12+
Alienators: Evolution Continues,US,Activision,AGB-AEVE-USA,047875802858,11/13/01,E
Aliens Versus Predator,US,Ubisoft,,,Canceled,
All Grown Up! Express Yourself,US,THQ,AGB-BALE-USA,785138321714,10/19/04,E
All-Star Baseball 2003,US,Acclaim,AGB-AA3E-USA,021481522812,05/07/02,E
All-Star Baseball 2004 featuring Derek Jeter,US,Acclaim,AGB-AA7E-USA,021481523123,02/23/03,E
Altered Beast: Guardian of the Realms,US,THQ,AGB-AARE-USA,785138321189,11/23/02,T
American Bass Challenge,US,Ubisoft,AGB-AABE-USA,008888140122,12/05/01,E
American Idol,US,Codemasters,AGB-BIDE-USA,767649400683,11/18/03,E
An American Tail: Fievel's Gold Rush,US,Crave,AGB-AFGE-USA,815315000146,05/02/03,E
Angel Collection 2: Pichimo ni Narou,JP,MTO,AGB-BECJ-JPN,4536478000625,09/22/04,
Angel Collection: Mezase! Gakuen no Fashion Leader,JP,MTO,AGB-AFNJ-JPN,4536478000458,04/18/03,
Angelique,JP,Koei,AGB-AAGJ-JPN,4988615017025,03/21/02,
Anguna: Warriors of Virtue,US,Piko Interactive LLC,SKU 00034,,11/06/15,
Animal Mania: DokiDoki Aishou Check,JP,Konami,AGB-AANJ-JPN,4988602086614,01/31/02,
Animal Snap: Rescue Them 2 By 2,US,Ignition Entertainment,AGB-AAQE-USA,839204000048,November 2002,E
Animal Yokochou: Doki Doki Kyuushutsu Daisakusen! no Maki,JP,Konami,AGB-BAYJ-JPN,4988602125184,12/22/05,A
Animal Yokochou: Doki*Doki Shinkyuu Shiken! no Kan,JP,Konami,AGB-BAXJ-JPN,4988602128833,05/18/06,A
"Animaniacs: Lights, Camera, Action!",US,Ignition Entertainment,AGP-ANIE-USA,893384000236,11/13/05,E
Animaniacs: Pinky & the Brain,US,Conspiracy Entertainment,,,Canceled,E
Antz Extreme Racing,US,Empire Interactive,AGB-ANUE-USA,020626715898,11/20/02,E
Ao Zora to Nakama Tachi: Yume no Bouken,JP,MTO,AGB-AAZJ-JPN,4536478000397,12/13/02,
Archer Maclean's 3D Pool,US,Crave,AGB-BPLE-USA,893384000021,11/03/04,E
Arctic Tale,US,DSI Games,AGB-BB5E-USA,802068101282,10/10/07,E
Army Men Advance,US,3DO,AGB-ASAE-USA,790561523116,06/10/01,E
Army Men: Operation Green,US,3DO,AGB-AMEE-USA,790561524717,12/02/01,E
Army Men: Turf Wars,US,3DO,AGB-AY3E-USA,790561509714,09/29/02,T
Around the World in 80 Days,US,Hip Games,AGB-B8DE-USA,677990104591,07/05/04,E
Arthur and the Invisibles: The Game,US,Atari SA,AGB-B2NE-USA,742725273900,01/09/07,E
Ashita no Joe: Masseki ni Moe Agare!,JP,Konami,AGB-BAMJ-JPN,4988602107128,12/04/03,A
Asterix & Obelix XXL,EU,Atari SA,AGB-BLXP-EUR,,06/18/04,7+
