title,region,publisher,productId,upc,releaseDate,rating
Astro Robo Sasa,JP,ASCII Entertainment,HSP-01,4988107210125,08/09/85,
Astyanax,US,Jaleco Entertainment,NES-YX-USA,,March 1990,
Athena,US,SNK,NES-AN-USA,018484135002,August 1987,
Athletic World,US,Bandai,NES-AW-USA-1,,July 1987,
Attack Animal Gakuen,JP,Pony Canyon,PNF-AA,4988013012394,12/26/87,
Attack of the Killer Tomatoes,US,THQ,NES-47-USA,,January 1992,
Aussie Rules Footy,AU,Laser Beam Entertainment,NES-28-AUS,,1991,
Auto-Upturn,AS,Sachen,TC-017,,1991,
B-Wings,JP,Data East,DFC-BW,4961082610012,06/03/86,
Babel no Tou,JP,Namco,NBL-3900-16,4907892000162,07/18/86,
Baby Boomer,US,Color Dreams,,096962710019,1989,
Back to the Future,US,LJN Ltd.,NES-FU,,September 1989,
Back to the Future II & III,US,LJN Ltd.,NES-L3,,September 1990,
Bad Dudes,US,Data East,NES-DU,,July 1990,
Bad News Baseball,US,Tecmo,NES-3B,,June 1990,
Bad Street Brawler,US,Mattel,NES-BV,,September 1989,
Baken Hisshou Gaku: Gate In,JP,K Amusement Leasing,KAC-3F,4988622110009,05/25/90,
Bakushou! Star Monomane Shitenou,JP,Pack-In-Video,PAC-8M,4988110900112,09/14/90,
Bakushou!! Jinsei Gekijou,JP,Taito Corporation,TFC-BZG-5900,4988611880173,03/17/89,
Bakushou!! Jinsei Gekijou 2,JP,Taito Corporation,TFC-BJ2-5900,4988611900260,03/22/91,
Bakushou!! Jinsei Gekijou 3,JP,Taito Corporation,TFC-BJIII,4988611910184,12/20/91,
Bakushou: Ai no Gekijou,JP,Coconuts Japan,CDS-IA,4953507901218,12/29/90,
Ballblazer,JP,Pony Canyon,PNF-BZ,4988013011397,03/04/88,
Balloon Fight,US,Nintendo,NES-BF-USA,045496630201,June 1986,
Balloon Monster,AS,NTDEC,,Other,1991,
Baltron,JP,Toei Animation,TDF-BT,4960919101013,03/19/86,
Banana,JP,Victor Interactive Software,VFR-B1-01,4988002025527,09/08/86,
Banana Prince,EU,Takara,NES-BN-NOE/FRG,8712354320023,February 1992,
Bandai Golf: Challenge Pebble Beach,US,Bandai,NES-PG,,February 1989,
Bandit Kings of Ancient China,US,Koei,NES-XJ,040198000178,December 1990,
Barbie,US,Hi-Tech,NES-8V,,December 1991,
Barcode World,JP,SunSoft,,4907940100769,12/18/92,
Barker Bill's Trick Shooting,US,Nintendo,NES-ZT-USA,045496630553,August 1990,
Baseball,US,Nintendo,NES-BA-USA,045496630096,October 1985,
Baseball Fighter,JP,Vap,VAP-V9,4988021095099,07/05/91,
Baseball Simulator 1.000,US,Culture Brain,NES-UB,,March 1990,
Baseball Stars,US,SNK,NES-B9,018484205002,July 1989,
Baseball Stars II,US,Romstar,NES-9R-USA,095474210109,July 1992,
Bases Loaded,US,Jaleco Entertainment,NES-LD-USA,032264900017,July 1988,
Bases Loaded 3,US,Jaleco Entertainment,NES-3L-USA,032264900208,September 1991,
Bases Loaded 4,US,Jaleco Entertainment,NES-BD-USA,,April 1993,
Bases Loaded II: Second Season,US,Jaleco Entertainment,NES-L2,,January 1990,
Bashi Bazook: Morphoid Masher,US,Jaleco Entertainment,,,Canceled,
Batman Returns,US,Konami,NES-BX,083717110323,January 1993,
Batman: Return of the Joker,US,SunSoft,NES-P48,,December 1991,
Batman: The Video Game,US,SunSoft,NES-B4-USA,020763110099,February 1990,
Bats & Terry,JP,Use,USE-BC,4966894000020,07/22/87,
Battle Baseball,JP,Banpresto,BAP-1Z,4983164730210,02/19/93,
Battle Chess,US,Data East,NES-C6,,July 1990,
Battle City,JP,Namco,NBC-4500,4902425217987,09/09/85,A
Battle Fleet,JP,Namco,,4907892000698,06/22/90,
Battle Kid 2: Mountain of Torment,US,RetroZone,SIV-B2-GBL,,12/15/12,
Battle Kid: Fortress of Peril,US,RetroZone,SIV-BK-GBL,Other,02/22/10,
Battle Rush: Build Up Robot Tournament (Datach),JP,B-AI,,4938182860036,11/13/93,
